,total_cup_points,country_of_origin,variety,processing_method,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,cupper_points,moisture,category_one_defects,category_two_defects,altitude,iso_code
501,82.33,Brazil,Bourbon,Natural / Dry,7.5,7.5,7.42,7.5,7.42,7.5,10.0,10.0,10.0,7.5,0.11,0,3,934.0,76
502,82.33,Costa Rica,Caturra,Washed / Wet,7.75,7.5,7.25,7.25,7.42,7.67,10.0,10.0,10.0,7.5,0.1,6,3,1850.0,188
503,82.33,Costa Rica,Catuai,Washed / Wet,7.75,7.33,7.5,7.5,7.33,7.58,10.0,10.0,10.0,7.33,0.0,0,0,1550.0,188
504,82.33,China,Catimor,Pulped natural / honey,7.5,7.58,7.42,7.5,7.42,7.42,10.0,10.0,10.0,7.5,0.12,0,2,1580.0,156
505,82.33,Brazil,Bourbon,Natural / Dry,8.25,7.83,7.25,8.33,8.17,8.08,10.0,6.67,10.0,7.75,0.07,0,0,1268.0,76
506,82.33,Guatemala,Bourbon,Washed / Wet,7.5,7.42,7.17,7.83,7.5,7.5,10.0,10.0,10.0,7.42,0.1,0,6,1676.4,320
507,82.33,Malawi,Gesha,Washed / Wet,7.33,7.58,7.42,7.58,7.33,7.5,10.0,10.0,10.0,7.58,0.12,0,0,1450.0,454
508,82.33,Brazil,Bourbon,Natural / Dry,7.75,8.08,7.67,8.08,8.08,8.0,10.0,10.0,6.67,8.0,0.11,0,0,1100.0,76
509,82.33,Guatemala,Pacas,Washed / Wet,7.58,7.67,7.5,7.58,7.75,7.5,9.33,10.0,10.0,7.42,0.12,0,3,1524.0,320
510,82.33,Colombia,Caturra,Washed / Wet,7.42,7.33,7.5,7.17,7.08,8.33,10.0,10.0,10.0,7.5,0.1,0,2,1300.0,170
511,82.33,Taiwan,Typica,Semi-washed / Semi-pulped,7.5,7.5,7.5,7.5,7.5,7.5,10.0,10.0,10.0,7.33,0.11,0,0,200.0,158
512,82.33,Taiwan,Typica,Washed / Wet,7.5,7.5,7.5,7.5,7.5,7.5,10.0,10.0,10.0,7.33,0.11,0,0,600.0,158
